Gioco [nome=Game, genere=Genre, prezzo=40,03ад]
Gioco [nome=The Oregon Trail, genere=Strategy, prezzo=37,11ад]
Gioco [nome=Pong, genere=Sports, prezzo=41,32ад]
Gioco [nome=Zork, genere=Adventure, prezzo=31,77ад]
Gioco [nome=Space Invaders, genere=Shoot 'em up, prezzo=53,33ад]
Gioco [nome=Asteroids, genere=Shoot 'em up, prezzo=31,79ад]
Gioco [nome=Adventure, genere=Action-adventure, prezzo=69,71ад]
Gioco [nome=Missile Command, genere=Shoot 'em up, prezzo=6,14ад]
Gioco [nome=Pac-Man, genere=Maze, prezzo=25,85ад]
Gioco [nome=Centipede, genere=Shoot 'em up, prezzo=54,60ад]
Gioco [nome=Defender, genere=Shoot 'em up, prezzo=38,17ад]
Gioco [nome=Donkey Kong, genere=Platform, prezzo=32,33ад]
Gioco [nome=Frogger, genere=Action, prezzo=47,29ад]
Gioco [nome=Galaga, genere=Shoot 'em up, prezzo=0,06ад]
Gioco [nome=Tempest, genere=Shoot 'em up, prezzo=73,97ад]
Gioco [nome=Joust, genere=Action, prezzo=55,44ад]
Gioco [nome=Ms. Pac-Man, genere=Maze, prezzo=37,38ад]
Gioco [nome=Pitfall!, genere=Platform, prezzo=9,28ад]
Gioco [nome=Robotron: 2084, genere=Top-down shooter, prezzo=4,75ад]
Gioco [nome=Lode Runner, genere=Platform, prezzo=39,14ад]
Gioco [nome=Star Wars, genere=Shoot 'em up, prezzo=43,83ад]
Gioco [nome=Elite, genere=Space flight simulator, prezzo=34,03ад]
Gioco [nome=Marble Madness, genere=Action, prezzo=91,90ад]
Gioco [nome=Tetris, genere=Puzzle, prezzo=5,08ад]
Gioco [nome=Gauntlet, genere=Action role-playing, prezzo=69,91ад]
Gioco [nome=Ghosts 'n Goblins, genere=Platform, prezzo=82,42ад]
Gioco [nome=Super Mario Bros., genere=Platform, prezzo=92,09ад]
Gioco [nome=Bubble Bobble, genere=Platform, prezzo=19,26ад]
Gioco [nome=The Legend of Zelda, genere=Action-adventure, prezzo=11,44ад]
Gioco [nome=Out Run, genere=Racing, prezzo=37,20ад]
